questionId,question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
eaf08730-0a86-446d-b4fa-acce72b24cf8,"ジョン、私は「フェアトレード」製品を買い始めたところなの。
","John, I've started buying ""Fairtrade"" products.","","",0,0
95bc1a0f-c534-4746-94cf-9233b426ca6b,それは良いね。,That's nice.,"","",0,0
fb91db95-cf98-4e60-bc1b-dd38a3202860,より多くの会社が製品を提供しているんだ。,More companies are offering the products.,"","",0,0
2f82b885-1ebd-4637-ad60-de7e4c9ccebe,一番有名な製品の1つはチョコレートだよ。,One of the most famous products is a chocolate bar.,"","",0,0
aac3e3a0-9ae6-43c8-a12e-5660510483db,そうね、昨日チョコレートにフェアトレードマークがついているのを見たわ。,"Yes, I saw the Fairtrade mark on a chocolate bar yesterday.","","",0,0
c2933dfe-6190-4889-8eed-69870583cfcc,マークがついた製品がたくさんあるよ。,There are thousands of products with the mark.,"","",0,0
5875771f-319d-4a1a-b80b-ef3e60cbcb7a,本当に？,Really?,"","",0,0
d7c0184d-a085-44f2-92c4-222b4067c627,知らなかったわ。,I didn't know that.,"","",0,0
838580cc-fa2e-4b1b-aea4-2dab62601001,貧困は今、世界で一番大きな問題だと思うの。,I think that poverty is the biggest problem in the world today.,"","",0,0
3d40bcc3-8f61-45de-a4db-88b2017a89ce,私にできることをするつもり。,I'll do what I can to help.,"","",0,0
879a6e83-9d81-4e60-a41a-22deb0218276,君のその態度は本当に良いね。,I really like your attitude.,"","",0,0
4ceb0c4f-9511-4deb-bbec-e78928f3825d,同感だよ。,I feel the same way.,"","",0,0
