daily life, 日常生活
wake up, 目覚める
get up, 起きる
get up early, 早起きする
oversleep, 寝過ごす
brush one's teeth, 歯を磨く
take a nap, 昼寝する
turn on the TV, テレビを付ける
have a shower, シャワーを浴びる
stay up late , 夜更かしする
go to bed, 就寝する
housework, 家事
wash the dishes, 皿を洗う
do the laundry, 洗濯する
iron, アイロンをかける
vacuum, 掃除機をかける
take out the garbage, ゴミを出す
walk one's dog, 犬を散歩させる
repair, 修理する
emotions, 感情
feelings, 感覚
angry, 怒っている
bored, 退屈している
worried, 心配している
relieved, 安心している
satisfied, 満足している
embarrassed, きまりが悪い
ashamed, 恥じている
scared, 怖がっている
nervous, 緊張している
calm, 落ち着いている
proud, 誇りに思っている
tired, 疲れている
utilize, 利用する
percentage, パーセンテージ
trend, 傾向
power generation, 発電
graph, グラフ
import, 輸入する
