English,日本語
beverage,飲み物
organic food,自然食品
processed food,加工食品
dairy product,乳製品
food allergy,食物アレルギー
vegetarian,菜食主義者
economic depression,経済不況
recession,景気後退
unemployment,失業
declining birthrate,少子化・出生率低下
aging society,高齢化社会
life span,寿命
workforce,労働人口
labor shortage,労働力不足
social security,社会保障
nursing care,介護
parental leave,育児休暇
social participation,社会参加
medical expenses,医療費
pension,年金
voter turnout,投票率
voting age,選挙権年齢
clone,クローン
passive smoking,受動喫煙
vaccine,ワクチン
digital divide,情報格差
cybercrime,ネット犯罪
fine,罰金を科す
video game addiction,ゲーム依存症
housing,住宅・住居
urban area,都市部
suburb,郊外
rural area,田舎
apartment,アパート
condominium,マンション
temporary housing,仮設住宅
spread,広げる
freeze,凍る
sink,沈下する
analysis,分析
