question,answers
ジョン、この冬休みは帰国するんだってね。,John<comma> I heard you're going home this winter break.
うん。,Yes.
クリスマスを祝うために親戚がうちに集まるんだ。,My relatives are getting together at my family's house to celebrate Christmas.
それで帰ることにしたんだ、少しの間だけだけどね。,That's why I decided to go back<comma> even for a little while.
僕たちのお正月の過ごし方みたいだね。,That sounds like how we spend the New Year.
日本では新年は家族が集まる時なんだ。,In Japan<comma> the New Year is the time when families get together.
おもしろいね！,Interesting!
僕たちは新年を友だちと過ごすんだ。,We spend the New Year with our friends.
それは僕たちがクリスマスにすることだよ。,That's what we do for Christmas.
季節だけじゃなく、全部逆なんだね！,It's all opposite<comma> not just the season!
